wall_time_sec,trajectory_id,publish_target_time,local_slam_reference_time,imu_integration_start_time,latest_imu_time,has_imu_data,reference_odom_request_time,reference_odom_before_time,reference_odom_after_time,reference_odom_latest_time,reference_odom_extrapolated,reference_odom_clamped_to_earliest,current_odom_request_time,current_odom_before_time,current_odom_after_time,current_odom_latest_time,current_odom_extrapolated,current_odom_clamped_to_earliest,tracked_pose_stamp,tracked_pose_x,tracked_pose_y,tracked_pose_yaw,adaptive_odometry_weight
1779099339.300486326,1,1779099339.300486326,1779099339.253900051,1779099339.253900051,1779099339.263988972,1,1779099339.253900051,1779099339.252069950,1779099339.271933794,1779099339.271933794,0,0,1779099339.300486326,1779099339.271933794,,1779099339.271933794,1,0,1779099339.300486565,9.284092641,8.040771868,1.964862756,1.000000000
1779099339.350484848,1,1779099339.350484371,1779099339.274028778,1779099339.274028778,1779099339.293988943,1,1779099339.274028778,1779099339.271933794,1779099339.291880369,1779099339.311789036,0,0,1779099339.350484371,1779099339.311789036,,1779099339.311789036,1,0,1779099339.350484610,9.295297511,8.045973608,1.965446412,1.000000000
1779099339.400489569,1,1779099339.400489569,1779099339.354034662,1779099339.354034662,1779099339.373988867,1,1779099339.354034662,1779099339.351918221,1779099339.371934414,1779099339.371934414,0,0,1779099339.400489569,1779099339.371934414,,1779099339.371934414,1,0,1779099339.400489569,9.287534015,8.040681763,1.964553339,1.000000000
1779099339.450479984,1,1779099339.450479984,1779099339.374037266,1779099339.374037266,1779099339.393988848,1,1779099339.374037266,1779099339.371934414,1779099339.392091036,1779099339.411770582,0,0,1779099339.450479984,1779099339.411770582,,1779099339.411770582,1,0,1779099339.450479746,9.285376873,8.041167843,1.964771954,1.000000000
1779099339.500484467,1,1779099339.500484705,1779099339.423902988,1779099339.423902988,1779099339.443988800,1,1779099339.423902988,1779099339.411770582,1779099339.431981564,1779099339.451949358,0,0,1779099339.500484705,1779099339.451949358,,1779099339.451949358,1,0,1779099339.500484467,9.284684558,8.040551779,1.964488068,1.000000000
1779099339.550483942,1,1779099339.550483942,1779099339.454017639,1779099339.454017639,1779099339.483989000,1,1779099339.454017639,1779099339.451949358,1779099339.466865301,1779099339.491867542,0,0,1779099339.550483942,1779099339.491867542,,1779099339.491867542,1,0,1779099339.550483942,9.282762578,8.055239973,1.964819840,1.000000000
1779099339.600486040,1,1779099339.600486040,1779099339.523906469,1779099339.523906469,1779099339.543988943,1,1779099339.523906469,1779099339.511779308,1779099339.531870127,1779099339.531870127,0,0,1779099339.600486040,1779099339.531870127,,1779099339.531870127,1,0,1779099339.600486279,9.287314961,8.042171791,1.964890868,0.931899379
1779099339.650500059,1,1779099339.650500059,1779099339.554026604,1779099339.554026604,1779099339.593988895,1,1779099339.554026604,1779099339.547018290,1779099339.571877480,1779099339.571877480,0,0,1779099339.650500059,1779099339.571877480,,1779099339.571877480,1,0,1779099339.650500059,9.284585702,8.042240223,1.965206649,0.556398412
1779099339.700504780,1,1779099339.700504780,1779099339.604002714,1779099339.604002714,1779099339.653988838,1,1779099339.604002714,1779099339.592002153,1779099339.611845493,1779099339.631923676,0,0,1779099339.700504780,1779099339.631923676,,1779099339.631923676,1,0,1779099339.700504780,9.276642496,8.049887028,1.967822847,0.000000000
1779099339.750544786,1,1779099339.750544786,1779099339.654041767,1779099339.654041767,1779099339.693988800,1,1779099339.654041767,1779099339.646960974,1779099339.671828985,1779099339.671828985,0,0,1779099339.750544786,1779099339.671828985,,1779099339.671828985,1,0,1779099339.750545025,9.275271719,8.069716307,1.972969746,0.000000000
1779099339.800483465,1,1779099339.800483465,1779099339.703909874,1779099339.703909874,1779099339.743988991,1,1779099339.703909874,1779099339.691776276,1779099339.711741447,1779099339.711741447,0,0,1779099339.800483465,1779099339.711741447,,1779099339.711741447,1,0,1779099339.800483465,9.260333405,8.087319710,1.982749149,0.000000000
1779099339.850497961,1,1779099339.850497961,1779099339.723908424,1779099339.723908424,1779099339.803988934,1,1779099339.723908424,1779099339.711741447,1779099339.731890202,1779099339.751915932,0,0,1779099339.850497961,1779099339.751915932,,1779099339.751915932,1,0,1779099339.850497961,9.240805573,8.120633209,1.987628960,0.000000000
1779099339.900501251,1,1779099339.900501251,1779099339.804001808,1779099339.804001808,1779099339.853988886,1,1779099339.804001808,1779099339.771843433,1779099339.811867952,1779099339.811867952,0,0,1779099339.900501251,1779099339.811867952,,1779099339.811867952,1,0,1779099339.900501251,9.234791904,8.121664480,2.007019977,0.000000000
1779099339.950502872,1,1779099339.950502872,1779099339.834028244,1779099339.834028244,1779099339.903988838,1,1779099339.834028244,1779099339.831944942,1779099339.851924181,1779099339.851924181,0,0,1779099339.950502872,1779099339.851924181,,1779099339.851924181,1,0,1779099339.950502872,9.229087737,8.136995700,2.015190036,0.000000000
1779099340.000486612,1,1779099340.000486612,1779099339.883977413,1779099339.883977413,1779099339.943988800,1,1779099339.883977413,1779099339.871787310,1779099339.891740322,1779099339.891740322,0,0,1779099340.000486612,1779099339.891740322,,1779099339.891740322,1,0,1779099340.000486612,9.191714294,8.166844838,2.033027647,0.000000000
1779099340.050483227,1,1779099340.050483227,1779099339.934003353,1779099339.934003353,1779099340.003988981,1,1779099339.934003353,1779099339.931877136,1779099339.951855898,1779099339.951855898,0,0,1779099340.050483227,1779099339.951855898,,1779099339.951855898,1,0,1779099340.050483227,9.180191679,8.186678664,2.050141576,0.000000000
1779099340.100562334,1,1779099340.100562334,1779099340.004008293,1779099340.004008293,1779099340.053988934,1,1779099340.004008293,1779099339.991764545,1779099340.011753321,1779099340.011753321,0,0,1779099340.100562334,1779099340.011753321,,1779099340.011753321,1,0,1779099340.100562334,9.167504315,8.204058318,2.076557647,0.000000000
1779099340.150485277,1,1779099340.150485277,1779099340.034021139,1779099340.034021139,1779099340.103988886,1,1779099340.034021139,1779099340.031810999,1779099340.051829815,1779099340.051829815,0,0,1779099340.150485277,1779099340.051829815,,1779099340.051829815,1,0,1779099340.150485277,9.162863309,8.209064184,2.084791868,0.000000000
