now_sec,tracked_pose_stamp,odom_stamp,stamp_delta_sec,x,y,yaw,use_sim_time
1779099331.300535202,1779099331.300535440,1779099331.300535440,0.000000000,8.668175211,3.441021274,0.169246331,1
1779099331.350473642,1779099331.350473642,1779099331.350473642,0.000000000,8.690712953,3.451922286,0.183456126,1
1779099331.400475502,1779099331.400475264,1779099331.400475264,0.000000000,8.753717132,3.462414854,0.189233423,1
1779099331.450539589,1779099331.450539589,1779099331.450539589,0.000000000,8.757509399,3.465515956,0.206401180,1
1779099331.500576735,1779099331.500576735,1779099331.500576735,0.000000000,8.806631767,3.482499831,0.211565990,1
1779099331.550544024,1779099331.550544024,1779099331.550544024,0.000000000,8.818146598,3.486022058,0.228933504,1
1779099331.600545883,1779099331.600545883,1779099331.600545883,0.000000000,8.861247980,3.494957576,0.235112709,1
1779099331.650566578,1779099331.650566578,1779099331.650566578,0.000000000,8.886437202,3.507797456,0.254307829,1
1779099331.700486183,1779099331.700486183,1779099331.700486183,0.000000000,8.912668871,3.521595384,0.259395052,1
1779099331.750482798,1779099331.750482798,1779099331.750482798,0.000000000,8.940682722,3.531068688,0.270192549,1
1779099331.800552845,1779099331.800553083,1779099331.800553083,0.000000000,8.978580902,3.541214021,0.284997261,1
1779099331.850572824,1779099331.850572824,1779099331.850572824,0.000000000,8.992609147,3.540779050,0.291998291,1
1779099331.900525093,1779099331.900525093,1779099331.900525093,0.000000000,9.033454751,3.565849863,0.311727929,1
1779099331.950533628,1779099331.950533628,1779099331.950533628,0.000000000,9.060460940,3.577170995,0.319120774,1
1779099332.000565529,1779099332.000565529,1779099332.000565529,0.000000000,9.093571636,3.598745887,0.333894436,1
1779099332.075478554,1779099332.075478554,1779099332.075478554,0.000000000,9.138374491,3.616891306,0.354374577,1
1779099332.100489616,1779099332.100489855,1779099332.100489855,0.000000000,9.157042478,3.626314466,0.368778489,1
1779099332.150572062,1779099332.150572062,1779099332.150572062,0.000000000,9.166475517,3.635879158,0.382325167,1
1779099332.225472689,1779099332.225472689,1779099332.225472689,0.000000000,9.217972921,3.658342410,0.404362481,1
1779099332.250549793,1779099332.250549793,1779099332.250549793,0.000000000,9.248780446,3.675500795,0.419349382,1
1779099332.300551414,1779099332.300551414,1779099332.300551414,0.000000000,9.239024520,3.679757575,0.427010500,1
1779099332.350465775,1779099332.350466013,1779099332.350466013,0.000000000,9.280809477,3.700694229,0.441938106,1
1779099332.425568581,1779099332.425568342,1779099332.425568342,0.000000000,9.365410693,3.729393503,0.455494353,1
1779099332.450533390,1779099332.450533390,1779099332.450533390,0.000000000,9.328905549,3.736259687,0.468429265,1
1779099332.500479221,1779099332.500479221,1779099332.500479221,0.000000000,9.376236083,3.750291854,0.475237074,1
1779099332.575545549,1779099332.575545549,1779099332.575545549,0.000000000,9.417590225,3.790822595,0.489521129,1
1779099332.625533342,1779099332.625533342,1779099332.625533342,0.000000000,9.439247294,3.804561070,0.513102147,1
1779099332.650538206,1779099332.650538206,1779099332.650538206,0.000000000,9.446133998,3.803313002,0.520948414,1
1779099332.725569487,1779099332.700459242,1779099332.700459242,0.000000000,9.453531386,3.824068526,0.534918546,1
1779099332.750558615,1779099332.750558615,1779099332.750558615,0.000000000,9.498905127,3.841226724,0.552060832,1
1779099332.825529099,1779099332.825529099,1779099332.825529099,0.000000000,9.526679191,3.875621157,0.567961068,1
1779099332.850531340,1779099332.850531340,1779099332.850531340,0.000000000,9.536812812,3.882120038,0.582789656,1
1779099332.925561428,1779099332.925561190,1779099332.925561190,0.000000000,9.572660362,3.917168169,0.596623249,1
1779099332.975465775,1779099332.975465536,1779099332.975465536,0.000000000,9.585178460,3.931169473,0.618895205,1
1779099333.025459766,1779099333.025459528,1779099333.025459528,0.000000000,9.615959961,3.956951303,0.626937656,1
1779099333.075629473,1779099333.050559998,1779099333.050559998,0.000000000,9.624431290,3.959952422,0.641047998,1
1779099333.100468159,1779099333.100468397,1779099333.100468397,0.000000000,9.643760484,3.987672020,0.657506442,1
1779099333.175525188,1779099333.175525188,1779099333.175525188,0.000000000,9.664433464,4.011084225,0.680437857,1
1779099333.225468636,1779099333.225468636,1779099333.225468636,0.000000000,9.698015279,4.037184107,0.697136196,1
1779099333.250476360,1779099333.250476122,1779099333.250476122,0.000000000,9.692485041,4.045198319,0.711427319,1
1779099333.325574160,1779099333.325574160,1779099333.325574160,0.000000000,9.718341903,4.074270366,0.717709614,1
1779099333.350467443,1779099333.350467205,1779099333.350467205,0.000000000,9.734699299,4.095430266,0.731274713,1
1779099333.425565004,1779099333.425565004,1779099333.425565004,0.000000000,9.757407789,4.129564757,0.746725961,1
1779099333.450545549,1779099333.450545549,1779099333.450545549,0.000000000,9.763282357,4.123851620,0.763820845,1
1779099333.500472069,1779099333.500472069,1779099333.500472069,0.000000000,9.771350499,4.135197066,0.780127422,1
1779099333.550565481,1779099333.550565481,1779099333.550565481,0.000000000,9.811751601,4.196903658,0.809535738,1
1779099333.625471592,1779099333.625471592,1779099333.625471592,0.000000000,9.822239047,4.228775786,0.830562036,1
1779099333.650539875,1779099333.650539875,1779099333.650539875,0.000000000,9.842895848,4.250052698,0.850176632,1
1779099333.725457907,1779099333.725457907,1779099333.725457907,0.000000000,9.873981966,4.307320125,0.860580373,1
1779099333.750474930,1779099333.750474930,1779099333.750474930,0.000000000,9.885058999,4.338352300,0.877509491,1
1779099333.800547838,1779099333.800547838,1779099333.800547838,0.000000000,9.883125599,4.325135301,0.895975243,1
1779099333.875529289,1779099333.875529051,1779099333.875529051,0.000000000,9.923378375,4.406747666,0.927009568,1
1779099333.900541782,1779099333.900541544,1779099333.900541544,0.000000000,9.939233110,4.427605272,0.937275178,1
1779099333.950528622,1779099333.950528383,1779099333.950528383,0.000000000,9.938409681,4.426828266,0.967980280,1
1779099334.025453806,1779099334.025453806,1779099334.025453806,0.000000000,9.965406067,4.491131006,0.988632951,1
1779099334.075458765,1779099334.075458765,1779099334.075458765,0.000000000,9.978943515,4.521168835,1.008280930,1
1779099334.125564575,1779099334.125564814,1779099334.125564814,0.000000000,9.990890741,4.538944480,1.018921798,1
1779099334.175536633,1779099334.175536394,1779099334.175536394,0.000000000,9.992804188,4.583579788,1.045395758,1
1779099334.200531244,1779099334.200531006,1779099334.200531006,0.000000000,10.004573510,4.587409268,1.057154680,1
1779099334.250531912,1779099334.250531912,1779099334.250531912,0.000000000,10.005435756,4.626004716,1.084802007,1
1779099334.325595856,1779099334.325595856,1779099334.325595856,0.000000000,10.029048310,4.674484217,1.095872053,1
1779099334.350551367,1779099334.350551367,1779099334.350551367,0.000000000,10.028109931,4.656208580,1.116121407,1
1779099334.425577402,1779099334.425577641,1779099334.425577641,0.000000000,10.029133860,4.726963346,1.134637845,1
1779099334.475569725,1779099334.475569725,1779099334.475569725,0.000000000,10.057445575,4.765836420,1.165675670,1
1779099334.500470161,1779099334.500470161,1779099334.500470161,0.000000000,10.042356788,4.781111033,1.174775831,1
1779099334.550566912,1779099334.550566912,1779099334.550566912,0.000000000,10.054840026,4.800359850,1.203927192,1
1779099334.625458002,1779099334.625458002,1779099334.625458002,0.000000000,10.059470502,4.848728307,1.231870763,1
1779099334.650482655,1779099334.650482655,1779099334.650482655,0.000000000,10.070061372,4.894230230,1.242600183,1
1779099334.725453615,1779099334.725453615,1779099334.725453615,0.000000000,10.074359885,4.920787684,1.262687267,1
1779099334.750624657,1779099334.750624895,1779099334.750624895,0.000000000,10.072373699,4.913943635,1.284430857,1
1779099334.825518847,1779099334.825519085,1779099334.825519085,0.000000000,10.085636758,4.998085584,1.296103397,1
1779099334.850577354,1779099334.850577354,1779099334.850577354,0.000000000,10.087789177,4.989977089,1.316516379,1
