elapsed,process_count,total_cpu_percent,total_rss_kb,cartographer_cpu_percent,cartographer_rss_kb,drm-engine-capacity-video,drm-engine-compute,drm-engine-copy,drm-engine-render,drm-engine-video,drm-engine-video-enhance,drm-total-stolen-local0,drm-total-system0
87.9577469159999,5,52.8,357064,47.9,216256,2,0,0,6672391596,0,0,0,28844
88.4777289829999,5,52.9,358536,48.0,217728,2,0,0,6722507324,0,0,0,28860
88.99788928099997,5,53.0,360268,48.1,219460,2,0,0,6774201928,0,0,0,28844
89.51799502799986,5,53.2,360468,48.300000000000004,219660,2,0,0,6824842648,0,0,0,28844
90.03787978900004,5,53.300000000000004,360540,48.400000000000006,219732,2,0,0,6872735792,0,0,0,28844
90.5578981189999,5,53.4,361020,48.5,220212,2,0,0,6931670252,0,0,0,28844
91.077802281,5,53.5,361276,48.6,220468,2,0,0,6986208008,0,0,0,28844
91.59780550999994,5,53.5,361324,48.6,220516,2,0,0,7031596312,0,0,0,28844
92.11764089799999,5,53.6,361644,48.7,220836,2,0,0,7081916036,0,0,0,28844
92.63757803699991,5,53.6,361680,48.800000000000004,220872,2,0,0,7133931064,0,0,0,28844
93.15753661199983,5,53.7,361948,48.900000000000006,221140,2,0,0,7184017204,0,0,0,28844
93.67781749999995,5,53.7,362636,48.900000000000006,221828,2,0,0,7229876056,0,0,0,28844
94.1979207899999,5,53.8,362880,49.0,222072,2,0,0,7270196440,0,0,0,28844
94.71799466899984,5,53.8,362892,49.0,222084,2,0,0,7313642076,0,0,0,28844
95.23829793300001,5,53.8,362892,49.0,222084,2,0,0,7348825796,0,0,0,28844
95.75862384499987,5,53.9,362928,49.1,222120,2,0,0,7380097192,0,0,0,28844
96.27861267200001,5,53.9,362944,49.1,222136,2,0,0,7408306724,0,0,0,28844
96.79862571299986,5,53.8,362944,49.1,222136,2,0,0,7440181892,0,0,0,28844
97.31855792199985,5,53.9,363132,49.2,222324,2,0,0,7475605696,0,0,0,28844
97.83866904299998,5,53.9,363416,49.2,222608,2,0,0,7512920012,0,0,0,33416
98.35854789699988,5,54.1,363628,49.400000000000006,222820,2,0,0,7557362020,0,0,0,28844
98.87881109099999,5,54.199999999999996,363700,49.5,222892,2,0,0,7591389676,0,0,0,28844
99.39934367499995,5,54.3,363796,49.6,222988,2,0,0,7630244492,0,0,0,28844
99.91976381999984,5,54.4,364128,49.7,223320,2,0,0,7673693716,0,0,0,31356
100.43976250699984,5,54.4,353436,49.7,212628,2,0,0,7706184200,0,0,0,28844
100.95973597299985,5,54.6,353776,49.9,212968,2,0,0,7739096508,0,0,0,28844
101.47992848599984,5,54.6,353864,49.9,213056,2,0,0,7769900684,0,0,0,28844
102.00030649199994,5,54.6,356948,49.9,216136,2,0,0,7808385572,0,0,0,28844
102.52050566100002,5,54.6,357380,49.9,216568,2,0,0,7860581144,0,0,0,28844
103.04044123699987,5,54.6,357476,49.9,216664,2,0,0,7906786004,0,0,0,28844
103.56049640299989,5,54.7,360016,50.0,219204,2,0,0,7956819780,0,0,0,28844
104.08050271699994,5,54.7,360948,50.0,220136,2,0,0,8011291756,0,0,0,28844
104.60039089399993,5,54.8,361176,50.099999999999994,220364,2,0,0,8070636496,0,0,0,28844
105.12035701699983,5,54.8,361680,50.099999999999994,220868,2,0,0,8125641888,0,0,0,32468
105.64053464899985,5,54.9,367764,50.199999999999996,226952,2,0,0,8177607776,0,0,0,28844
106.16107661399997,5,54.9,367776,50.199999999999996,226964,2,0,0,8225611784,0,0,0,34284
106.68115014099999,5,55.0,367808,50.3,226996,2,0,0,8270559076,0,0,0,28844
107.20115046299998,5,55.0,368520,50.3,227708,2,0,0,8314603336,0,0,0,33844
107.72119158299984,5,55.1,368604,50.4,227792,2,0,0,8352664684,0,0,0,33624
