wall_time_sec,trajectory_id,publish_target_time,local_slam_reference_time,imu_integration_start_time,latest_imu_time,has_imu_data,reference_odom_request_time,reference_odom_before_time,reference_odom_after_time,reference_odom_latest_time,reference_odom_extrapolated,reference_odom_clamped_to_earliest,current_odom_request_time,current_odom_before_time,current_odom_after_time,current_odom_latest_time,current_odom_extrapolated,current_odom_clamped_to_earliest,tracked_pose_stamp,tracked_pose_x,tracked_pose_y,tracked_pose_yaw,adaptive_odometry_weight
1779099288.225463390,1,1779099288.225463390,1779099288.092938662,1779099288.092938662,1779099288.162847042,1,1779099288.092938662,1779099288.091622591,1779099288.111743212,1779099288.111743212,0,0,1779099288.225463390,1779099288.111743212,,1779099288.111743212,1,0,1779099288.225463390,-0.011395187,-0.007278303,-0.002690233,1.000000000
1779099288.275471449,1,1779099288.275471210,1779099288.142873764,1779099288.142873764,1779099288.212853909,1,1779099288.142873764,1779099288.111743212,1779099288.151731253,1779099288.171750546,0,0,1779099288.275471210,1779099288.171750546,,1779099288.171750546,1,0,1779099288.275471210,-0.014565327,0.005872205,-0.002977581,1.000000000
1779099288.325468779,1,1779099288.325468779,1779099288.192922592,1779099288.192922592,1779099288.262861490,1,1779099288.192922592,1779099288.191441059,1779099288.211516142,1779099288.211516142,0,0,1779099288.325468779,1779099288.211516142,,1779099288.211516142,1,0,1779099288.325468779,-0.008073130,0.004061450,-0.004465486,1.000000000
1779099288.350473881,1,1779099288.350473881,1779099288.242859602,1779099288.242859602,1779099288.292865753,1,1779099288.242859602,1779099288.211516142,1779099288.251623869,1779099288.251623869,0,0,1779099288.350473881,1779099288.251623869,,1779099288.251623869,1,0,1779099288.350473881,-0.010601423,-0.003217885,-0.002295079,1.000000000
1779099288.400473356,1,1779099288.400473356,1779099288.272855759,1779099288.272855759,1779099288.342852831,1,1779099288.272855759,1779099288.271476030,1779099288.291538715,1779099288.291538715,0,0,1779099288.400473356,1779099288.291538715,,1779099288.291538715,1,0,1779099288.400473356,-0.010144662,-0.000160956,-0.002729914,1.000000000
1779099288.475473881,1,1779099288.475473881,1779099288.352934599,1779099288.352934599,1779099288.412862778,1,1779099288.352934599,1779099288.351584196,1779099288.371594429,1779099288.371594429,0,0,1779099288.475473881,1779099288.371594429,,1779099288.371594429,1,0,1779099288.475474119,-0.012001677,0.003359459,-0.002949054,1.000000000
1779099288.525470495,1,1779099288.525470495,1779099288.402974129,1779099288.402974129,1779099288.462869406,1,1779099288.402974129,1779099288.391454935,1779099288.411561966,1779099288.411561966,0,0,1779099288.525470495,1779099288.411561966,,1779099288.411561966,1,0,1779099288.525470495,-0.014248133,0.000183204,-0.002523938,1.000000000
1779099288.550555944,1,1779099288.550555944,1779099288.442941427,1779099288.442941427,1779099288.492873430,1,1779099288.442941427,1779099288.411561966,1779099288.451592207,1779099288.451592207,0,0,1779099288.550555944,1779099288.451592207,,1779099288.451592207,1,0,1779099288.550555706,-0.010523213,-0.000538075,-0.001902382,1.000000000
1779099288.625471115,1,1779099288.625470877,1779099288.492923021,1779099288.492923021,1779099288.562881708,1,1779099288.492923021,1779099288.491674185,1779099288.511496782,1779099288.511496782,0,0,1779099288.625470877,1779099288.511496782,,1779099288.511496782,1,0,1779099288.625471115,-0.012073511,0.012576606,-0.004307907,1.000000000
1779099288.675473928,1,1779099288.675473928,1779099288.552926064,1779099288.552926064,1779099288.612887621,1,1779099288.552926064,1779099288.551597834,1779099288.571516514,1779099288.571516514,0,0,1779099288.675473928,1779099288.571516514,,1779099288.571516514,1,0,1779099288.675473928,-0.009769916,-0.007402027,-0.002931012,1.000000000
