now_sec,tracked_pose_stamp,odom_stamp,stamp_delta_sec,x,y,yaw,use_sim_time
1779099304.000464916,1779099304.000464916,1779099304.000464916,0.000000000,1.054857667,6.977732999,2.715403437,1
1779099304.075548172,1779099304.075548410,1779099304.075548172,-0.000000238,0.969861332,6.993145928,2.745386237,1
1779099304.100470543,1779099304.100470543,1779099304.100470543,0.000000000,0.922624038,6.983411945,2.759421103,1
1779099304.150484324,1779099304.150484324,1779099304.150484324,0.000000000,0.916923041,7.006968971,2.787633050,1
1779099304.225471973,1779099304.225471973,1779099304.225471973,0.000000000,0.836141244,7.013281976,2.849434904,1
1779099304.250467300,1779099304.250467300,1779099304.250467300,0.000000000,0.813095271,7.017817060,2.853446665,1
1779099304.300469160,1779099304.300469398,1779099304.300469398,0.000000000,0.751803551,7.010485912,2.879607622,1
1779099304.350480080,1779099304.350480318,1779099304.350480080,-0.000000238,0.712249200,7.012262446,2.910943748,1
1779099304.400552511,1779099304.400552511,1779099304.400552273,-0.000000238,0.688680685,6.999675437,2.940745407,1
1779099304.450540066,1779099304.450540066,1779099304.450540066,0.000000000,0.633552089,7.003516802,2.969306081,1
1779099304.500575304,1779099304.500575304,1779099304.500575304,0.000000000,0.614143162,7.012319588,2.997139425,1
1779099304.550498724,1779099304.550498962,1779099304.550498962,0.000000000,0.547612456,6.999916710,3.025414929,1
1779099304.600468874,1779099304.600469112,1779099304.600468874,-0.000000238,0.496593370,6.998376114,3.068985954,1
1779099304.650468111,1779099304.650468111,1779099304.650468111,0.000000000,-1.945800577,2.352328015,-2.587219145,1
1779099304.700462341,1779099304.700462341,1779099304.700462341,0.000000000,-1.905817344,2.369625534,-2.564987419,1
1779099304.775471687,1779099304.775471449,1779099304.775471449,0.000000000,-1.959170440,2.383777365,-2.520531829,1
1779099304.800469398,1779099304.800469398,1779099304.800469398,0.000000000,-1.975117333,2.336119191,-2.505816825,1
1779099304.875520229,1779099304.875520229,1779099304.875520229,0.000000000,-2.010444775,2.299375162,-2.483952382,1
1779099304.900540352,1779099304.900540352,1779099304.900540352,0.000000000,-2.010082416,2.311123110,-2.464214891,1
1779099304.950525761,1779099304.950525761,1779099304.950525761,0.000000000,-2.036638534,2.283006323,-2.455522300,1
1779099305.000466585,1779099305.000466824,1779099305.000466824,0.000000000,-2.053573521,2.262619788,-2.436898068,1
1779099305.050468445,1779099305.050468206,1779099305.050468206,0.000000000,-2.043752009,2.248564620,-2.422261591,1
1779099305.125456333,1779099305.125456572,1779099305.125456572,0.000000000,-2.047753590,2.252510840,-2.398164830,1
1779099305.150454044,1779099305.150454044,1779099305.150454044,0.000000000,-2.032056271,2.265109626,-2.398320975,1
1779099305.200448990,1779099305.200448990,1779099305.200448990,0.000000000,-2.043514005,2.263493086,-2.391462660,1
1779099305.275445461,1779099305.275445461,1779099305.275445461,0.000000000,-2.050140649,2.253821997,-2.388701637,1
1779099305.300448418,1779099305.300448418,1779099305.300448418,0.000000000,-2.052729557,2.262441229,-2.390939415,1
1779099305.350455523,1779099305.350455761,1779099305.350455761,0.000000000,-2.048938988,2.257533009,-2.389642175,1
1779099305.400447607,1779099305.400447369,1779099305.400447369,0.000000000,-2.023287680,2.273560461,-2.393874225,1
1779099305.450525045,1779099305.450524807,1779099305.450524807,0.000000000,-2.004418158,2.304352094,-2.399997473,1
1779099305.500455856,1779099305.500455856,1779099305.500455856,0.000000000,-1.978940690,2.316788771,-2.403712217,1
1779099305.550520658,1779099305.550520658,1779099305.550520658,0.000000000,-1.964202051,2.348905481,-2.410141923,1
1779099305.625538349,1779099305.625538349,1779099305.625538349,0.000000000,-1.926352523,2.375451169,-2.414741370,1
1779099305.650523186,1779099305.650523186,1779099305.650523186,0.000000000,-1.915663553,2.374477785,-2.418085733,1
1779099305.700522661,1779099305.700522900,1779099305.700522900,0.000000000,-1.884863732,2.423160642,-2.428168373,1
1779099305.750528097,1779099305.750528097,1779099305.750528097,0.000000000,-1.867309305,2.462232386,-2.432617666,1
1779099305.800522566,1779099305.800522566,1779099305.800522566,0.000000000,-1.838042552,2.461821793,-2.438909488,1
1779099305.850521088,1779099305.850521088,1779099305.850521326,0.000000238,-1.783177536,2.494726989,-2.442626419,1
1779099305.900518179,1779099305.900518179,1779099305.900518179,0.000000000,-1.783773985,2.512471623,-2.450971420,1
1779099305.950519800,1779099305.950519800,1779099305.950519800,0.000000000,-1.748577418,2.563735197,-2.456097170,1
1779099306.000458002,1779099306.000458002,1779099306.000458002,0.000000000,-1.777078582,2.532818121,-2.462227522,1
1779099306.050462723,1779099306.050462484,1779099306.050462723,0.000000238,-1.702803776,2.588766176,-2.470658167,1
1779099306.100455761,1779099306.100455761,1779099306.100455761,0.000000000,-1.670319564,2.606828250,-2.473624377,1
1779099306.150452375,1779099306.150452614,1779099306.150452614,0.000000000,-1.654060059,2.618185603,-2.474642934,1
1779099306.200443983,1779099306.200443983,1779099306.200443983,0.000000000,-1.644343006,2.638829381,-2.476805829,1
1779099306.250453949,1779099306.250453949,1779099306.250453949,0.000000000,-1.639233033,2.642348666,-2.481984805,1
1779099306.300443411,1779099306.300443411,1779099306.300443411,0.000000000,-1.622301090,2.642403064,-2.484283593,1
1779099306.350452900,1779099306.350452900,1779099306.350452900,0.000000000,-1.617973136,2.656669912,-2.484993067,1
