wall_time_sec,trajectory_id,publish_target_time,local_slam_reference_time,imu_integration_start_time,latest_imu_time,has_imu_data,reference_odom_request_time,reference_odom_before_time,reference_odom_after_time,reference_odom_latest_time,reference_odom_extrapolated,reference_odom_clamped_to_earliest,current_odom_request_time,current_odom_before_time,current_odom_after_time,current_odom_latest_time,current_odom_extrapolated,current_odom_clamped_to_earliest,tracked_pose_stamp,tracked_pose_x,tracked_pose_y,tracked_pose_yaw,adaptive_odometry_weight
1779099298.500463247,1,1779099298.500463247,1779099298.363092184,1779099298.363092184,1779099298.432987452,1,1779099298.363092184,1779099298.351877928,1779099298.371805191,1779099298.391906977,0,0,1779099298.500463247,1779099298.391906977,,1779099298.391906977,1,0,1779099298.500463486,3.152578717,3.164128361,2.870714029,0.000000000
1779099298.550479412,1,1779099298.550479412,1779099298.413165808,1779099298.413165808,1779099298.482987404,1,1779099298.413165808,1779099298.411802053,1779099298.431965590,1779099298.431965590,0,0,1779099298.550479412,1779099298.431965590,,1779099298.431965590,1,0,1779099298.550479412,3.121830281,3.186186845,2.856392146,0.000000000
1779099298.600477219,1,1779099298.600477219,1779099298.463236570,1779099298.463236570,1779099298.532987595,1,1779099298.463236570,1779099298.431965590,1779099298.471751451,1779099298.491741657,0,0,1779099298.600477219,1779099298.491741657,,1779099298.491741657,1,0,1779099298.600477219,3.098056879,3.199510631,2.840703145,0.000000000
1779099298.650478125,1,1779099298.650478125,1779099298.513116837,1779099298.513116837,1779099298.582987547,1,1779099298.513116837,1779099298.511887789,1779099298.531751156,1779099298.531751156,0,0,1779099298.650478125,1779099298.531751156,,1779099298.531751156,1,0,1779099298.650477886,3.084157266,3.202357536,2.825234401,0.000000000
1779099298.700529337,1,1779099298.700529337,1779099298.563143730,1779099298.563143730,1779099298.632987499,1,1779099298.563143730,1779099298.531751156,1779099298.571771860,1779099298.591947794,0,0,1779099298.700529337,1779099298.591947794,,1779099298.591947794,1,0,1779099298.700529337,3.064359212,3.221483630,2.806794295,0.000000000
1779099298.750477076,1,1779099298.750477076,1779099298.613187790,1779099298.613187790,1779099298.682987452,1,1779099298.613187790,1779099298.611920118,1779099298.631846905,1779099298.631846905,0,0,1779099298.750477076,1779099298.631846905,,1779099298.631846905,1,0,1779099298.750477076,3.040772064,3.243140637,2.786273590,0.000000000
1779099298.800478697,1,1779099298.800478697,1779099298.663036823,1779099298.663036823,1779099298.732987642,1,1779099298.663036823,1779099298.631846905,1779099298.671836138,1779099298.691938400,0,0,1779099298.800478697,1779099298.691938400,,1779099298.691938400,1,0,1779099298.800478697,3.026972603,3.252720229,2.766695352,0.000000000
1779099298.850475550,1,1779099298.850475550,1779099298.743050814,1779099298.743050814,1779099298.782987595,1,1779099298.743050814,1779099298.711717129,1779099298.752124786,1779099298.752124786,0,0,1779099298.850475550,1779099298.752124786,,1779099298.752124786,1,0,1779099298.850475550,3.020941064,3.265523035,2.733909575,0.000000000
1779099298.900491238,1,1779099298.900491238,1779099298.763151646,1779099298.763151646,1779099298.832987309,1,1779099298.763151646,1779099298.752124786,1779099298.771861076,1779099298.791976690,0,0,1779099298.900491238,1779099298.791976690,,1779099298.791976690,1,0,1779099298.900491238,2.975558126,3.286536044,2.720527657,0.000000000
1779099298.950584650,1,1779099298.950584650,1779099298.813053370,1779099298.813053370,1779099298.882987499,1,1779099298.813053370,1779099298.811744452,1779099298.826838017,1779099298.826838017,0,0,1779099298.950584650,1779099298.826838017,,1779099298.826838017,1,0,1779099298.950584650,2.969734752,3.298796450,2.695033476,0.000000000
