now_sec,tracked_pose_stamp,odom_stamp,stamp_delta_sec,x,y,yaw,use_sim_time
1779099298.400464058,1779099298.400464058,1779099298.400464058,0.000000000,2.665861196,2.251910998,3.036618371,1
1779099298.475518465,1779099298.450457811,1779099298.450457811,0.000000000,2.639727225,2.262671184,3.020375199,1
1779099298.500466108,1779099298.500466108,1779099298.500466108,0.000000000,2.631989710,2.271492829,3.014439984,1
1779099298.550462246,1779099298.550462008,1779099298.550462008,0.000000000,2.598088957,2.281136225,2.990672184,1
1779099298.600459576,1779099298.600459337,1779099298.600459337,0.000000000,2.593632316,2.274918303,2.983037583,1
1779099298.650462866,1779099298.650462866,1779099298.650462866,0.000000000,2.561589497,2.302846325,2.957072124,1
1779099298.700523853,1779099298.700523615,1779099298.700523615,0.000000000,2.542070621,2.313505355,2.954390316,1
1779099298.750567913,1779099298.750567913,1779099298.750567913,0.000000000,2.524350025,2.316669512,2.926515629,1
1779099298.800573349,1779099298.800573349,1779099298.800573349,0.000000000,2.511186181,2.322173452,2.917384321,1
1779099298.875496387,1779099298.875496387,1779099298.875496387,0.000000000,2.480180298,2.349448342,2.871580126,1
1779099298.901197672,1779099298.901197433,1779099298.901197433,0.000000000,2.470720096,2.355304355,2.867530987,1
1779099298.950605392,1779099298.950605392,1779099298.950605392,0.000000000,2.443149418,2.372582630,2.818150734,1
1779099299.000489950,1779099299.000489950,1779099299.000489950,0.000000000,2.420394442,2.406524547,2.804014768,1
1779099299.050479412,1779099299.050479412,1779099299.050479412,0.000000000,2.400060847,2.407230421,2.759501066,1
1779099299.100565434,1779099299.100565434,1779099299.100565434,0.000000000,2.376256275,2.434659229,2.728117836,1
1779099299.150472403,1779099299.150472403,1779099299.150472403,0.000000000,2.360848627,2.446690951,2.698021867,1
1779099299.200485468,1779099299.200485229,1779099299.200485229,0.000000000,2.340394483,2.465634832,2.666050295,1
1779099299.250675678,1779099299.250675678,1779099299.250675678,0.000000000,2.323037466,2.483498996,2.649218914,1
1779099299.300489426,1779099299.300489426,1779099299.300489426,0.000000000,2.294484575,2.514203787,2.631976059,1
1779099299.350510836,1779099299.350510836,1779099299.350510836,0.000000000,2.270424667,2.543334136,2.580505983,1
1779099299.400476456,1779099299.400476456,1779099299.400476456,0.000000000,2.251142979,2.587643264,2.562870572,1
1779099299.450569868,1779099299.450569868,1779099299.450569868,0.000000000,2.223822077,2.609483041,2.500678425,1
1779099299.500501871,1779099299.500501871,1779099299.500501871,0.000000000,2.198437957,2.643036132,2.479057277,1
1779099299.550484657,1779099299.550484896,1779099299.550484896,0.000000000,2.169524348,2.690527023,2.407836759,1
1779099299.625482321,1779099299.625482082,1779099299.625482082,0.000000000,2.111688625,2.795108894,2.301951612,1
1779099299.650479078,1779099299.650479078,1779099299.650479078,0.000000000,2.116529249,2.809013471,2.275955501,1
1779099299.700483799,1779099299.700483799,1779099299.700483799,0.000000000,2.082412953,2.879239001,2.222339569,1
1779099299.750478745,1779099299.750478983,1779099299.750478983,0.000000000,2.037569612,2.978622441,2.196763272,1
1779099299.800472736,1779099299.800472975,1779099299.800472975,0.000000000,1.981735766,3.100593900,2.169811781,1
1779099299.850470066,1779099299.850470304,1779099299.850470304,0.000000000,1.999699917,3.105637205,2.089239602,1
1779099299.900466204,1779099299.900466204,1779099299.900466204,0.000000000,2.015744477,3.128018241,2.062411981,1
1779099299.950469017,1779099299.950469017,1779099299.950469017,0.000000000,1.964582857,3.260172015,1.986769116,1
1779099300.000466108,1779099300.000466108,1779099300.000466108,0.000000000,1.971424199,3.323279200,1.963440107,1
1779099300.075484276,1779099300.075484276,1779099300.075484276,0.000000000,1.949048633,3.405900195,1.884707338,1
1779099300.100476503,1779099300.100476503,1779099300.100476503,0.000000000,1.942215311,3.438201733,1.882555754,1
1779099300.175536394,1779099300.175536394,1779099300.175536394,0.000000000,1.924399578,3.521247353,1.849025610,1
1779099300.200472832,1779099300.200472832,1779099300.200472832,0.000000000,1.919437288,3.539349830,1.840868128,1
1779099300.250470161,1779099300.250470161,1779099300.250470161,0.000000000,1.916987624,3.592381768,1.826957548,1
1779099300.325466156,1779099300.325466156,1779099300.325466156,0.000000000,1.892089960,3.683169721,1.813424637,1
1779099300.350466967,1779099300.350467205,1779099300.350467205,0.000000000,1.898971010,3.676132457,1.810174695,1
