wall_time_sec,trajectory_id,publish_target_time,local_slam_reference_time,imu_integration_start_time,latest_imu_time,has_imu_data,reference_odom_request_time,reference_odom_before_time,reference_odom_after_time,reference_odom_latest_time,reference_odom_extrapolated,reference_odom_clamped_to_earliest,current_odom_request_time,current_odom_before_time,current_odom_after_time,current_odom_latest_time,current_odom_extrapolated,current_odom_clamped_to_earliest,tracked_pose_stamp,tracked_pose_x,tracked_pose_y,tracked_pose_yaw,adaptive_odometry_weight
1779099330.450480461,1,1779099330.450480461,1779099330.373917103,1779099330.373917103,1779099330.393970728,1,1779099330.373917103,1779099330.371568441,1779099330.391671658,1779099330.391671658,0,0,1779099330.450480461,1779099330.391671658,,1779099330.391671658,1,0,1779099330.450480461,8.561284502,3.003468992,0.001765832,0.077127794
1779099330.500505447,1,1779099330.500505447,1779099330.403872967,1779099330.403872967,1779099330.443971872,1,1779099330.403872967,1779099330.391671658,1779099330.411599159,1779099330.431737661,0,0,1779099330.500505447,1779099330.431737661,,1779099330.431737661,1,0,1779099330.500505209,8.590620977,2.996696941,0.006997926,0.157378793
1779099330.550492525,1,1779099330.550492525,1779099330.453907728,1779099330.453907728,1779099330.493973255,1,1779099330.453907728,1779099330.451768160,1779099330.471745014,1779099330.471745014,0,0,1779099330.550492525,1779099330.471745014,,1779099330.471745014,1,0,1779099330.550492287,8.650255706,3.003303556,0.017023539,0.000000000
1779099330.600473881,1,1779099330.600473881,1779099330.503863096,1779099330.503863096,1779099330.543974400,1,1779099330.503863096,1779099330.491575241,1779099330.511598110,1779099330.511598110,0,0,1779099330.600473881,1779099330.511598110,,1779099330.511598110,1,0,1779099330.600473881,8.726614960,3.005037891,0.028136003,0.084816198
1779099330.650486469,1,1779099330.650486469,1779099330.523803473,1779099330.523803473,1779099330.593975544,1,1779099330.523803473,1779099330.511598110,1779099330.526719093,1779099330.551683664,0,0,1779099330.650486469,1779099330.551683664,,1779099330.551683664,1,0,1779099330.650486469,8.743852739,3.011327364,0.031531700,0.205332021
1779099330.700479031,1,1779099330.700479031,1779099330.583890438,1779099330.583890438,1779099330.643976688,1,1779099330.583890438,1779099330.571773291,1779099330.591715574,1779099330.591715574,0,0,1779099330.700479031,1779099330.591715574,,1779099330.591715574,1,0,1779099330.700479031,8.772866534,3.009354028,0.043013537,0.000000000
1779099330.750491142,1,1779099330.750491142,1779099330.623923779,1779099330.623923779,1779099330.693977833,1,1779099330.623923779,1779099330.591715574,1779099330.631687641,1779099330.651657104,0,0,1779099330.750491142,1779099330.651657104,,1779099330.651657104,1,0,1779099330.750491142,8.890707556,3.010877949,0.052518193,0.000000000
1779099330.800475359,1,1779099330.800475359,1779099330.703896046,1779099330.703896046,1779099330.753979445,1,1779099330.703896046,1779099330.671639442,1779099330.706802607,1779099330.706802607,0,0,1779099330.800475359,1779099330.706802607,,1779099330.706802607,1,0,1779099330.800475359,8.868917764,3.023018380,0.066884515,0.000000000
1779099330.850481987,1,1779099330.850481987,1779099330.753914595,1779099330.753914595,1779099330.793980360,1,1779099330.753914595,1779099330.751801968,1779099330.771797419,1779099330.771797419,0,0,1779099330.850481987,1779099330.771797419,,1779099330.771797419,1,0,1779099330.850481987,8.918716134,3.027833316,0.077012141,0.000000000
1779099330.900476933,1,1779099330.900476933,1779099330.803900242,1779099330.803900242,1779099330.853981733,1,1779099330.803900242,1779099330.791769028,1779099330.811674356,1779099330.811674356,0,0,1779099330.900476933,1779099330.811674356,,1779099330.811674356,1,0,1779099330.900476933,8.967896302,3.035688819,0.088048178,0.401965857
