stamp,rt_correlative_score,ceres_final_cost,translation_residual,rotation_residual,num_filtered_points,was_outlier,inserted_to_submap,num_insertion_submaps,pose_prediction_x,pose_prediction_y,pose_prediction_yaw,pose_estimate_x,pose_estimate_y,pose_estimate_yaw
639049412322596289,nan,160.6592212668001,0.018418137614762041,0.0026275573661640947,211,0,0,0,7.2951319141573636,19.501913007236126,0.050108378539085216,7.2988224366934231,19.483868400379585,0.047480821172921121
639049412322795237,nan,165.14465061328164,0.014363223186975105,0.00034540898201412124,201,0,1,2,7.2969041765883018,19.55187704610502,0.047480821172806213,7.2923176743594924,19.565488297980728,0.047135412190792092
639049412323096303,nan,143.12322364790228,0.027086732785842883,0.00072068659892742665,212,0,0,0,7.2824740831857824,19.689002865059493,0.047135412190737531,7.2856095068750832,19.662098214693799,0.046414725591810105
639049412323296270,nan,159.33378127136615,0.023361315780151649,0.0021476164716744545,200,0,1,2,7.2811539651421917,19.726266188544592,0.046414725591749591,7.2803374597184813,19.749613231052649,0.048562342063424045
639049412323596298,nan,148.57073015092203,0.030233229344573065,0.0021040365306886633,214,0,0,0,7.2724273457281683,19.880919673256177,0.048562342063272257,7.2712202885743062,19.850710549309447,0.046458305532583594
639049412323796159,nan,182.18201742457978,0.017811161838009452,0.001750548013815377,209,0,1,2,7.2651469656109633,19.918055634181933,0.046458305532403293,7.2631334177706011,19.935752614464295,0.04820885354621867
639049412324095442,nan,145.15222270986925,0.028254002847262143,0.0045455680046119773,200,0,1,2,7.251023686733804,20.063099342368883,0.048208853545902021,7.2515314779351714,20.034849902994111,0.043663285541290044
639049412324296298,nan,130.84726783239725,0.0172708967684332,0.0036322979501175953,202,0,1,2,7.2437451378236881,20.10135647030647,0.043663285540946097,7.2424854427001719,20.118581366340457,0.047295583491063692
639049412324595508,nan,125.57802069527997,0.020437322950959128,0.0027233372867071504,201,0,1,2,7.2290097974485281,20.243313966550858,0.047295583490613746,7.2252971930139154,20.223216684701963,0.044572246203906596
639049412324796361,nan,111.58355703492165,0.01174353884918637,0.0034476912992814426,217,0,1,2,7.2137591043329428,20.293456040334675,0.044572246203436333,7.2094025028793132,20.304361576932045,0.048019937502717776
639049412325096473,nan,130.9127427085682,0.038585645586182597,0.0053166263272977424,210,0,1,2,7.1856528588825803,20.425607243648273,0.048019937502208003,7.1954876695302605,20.388296004794185,0.042703311174910261
639049412325295532,nan,104.18481166303559,0.029129590490038583,0.0047193924105713575,207,0,1,2,7.1862582058246138,20.44396823141561,0.042703311174348259,7.1770825434644978,20.471614935782867,0.047422703584919616
639049412325554870,nan,100.57330251954157,0.016529410736315156,0.0010025843339074858,204,0,1,2,7.1531039814118262,20.580164486040545,0.047422703584001309,7.1489054482768095,20.564177186743791,0.048425287917908795
639049412325796765,nan,81.38227149303755,0.0078861331180886205,0.00039244049067625741,205,0,1,2,7.1226235364843768,20.650513727074141,0.048425287916498035,7.1200674844285494,20.643053318677538,0.048032847425821777
639049412326096079,nan,78.834031948248452,0.017366643265671611,0.0061747131564364385,207,0,1,2,7.0843842073402339,20.740652403212636,0.048032847424413112,7.0889823099680216,20.723905530354056,0.041858134267976674
639049412326295867,nan,76.576620521209833,0.019575364548049215,0.0053320731116539635,200,0,1,2,7.0682333813007361,20.777873275486019,0.04185813426631662,7.0619616053000733,20.796416730476569,0.047190207377970583
639049412326596154,nan,75.085085634742853,0.029164022907269105,0.010786164723196788,202,0,1,2,7.0213487239327028,20.905403109794591,0.047190207376142122,7.0308720067852022,20.877837781647678,0.036404042652945334
639049412326796340,nan,68.498733154616573,0.020159713358660875,0.006717242829903762,210,0,1,2,7.010146159951014,20.932117036326499,0.036404042651059156,6.9955734362190576,20.946047210974918,0.043121285480962918
639049412327096206,nan,64.167203655184451,0.022030109709712253,0.0066072221517859894,213,0,1,2,6.9426984041919049,21.048220633365304,0.043121285479144296,6.9441116311198261,21.026235899492178,0.036514063327358307
639049412327296532,nan,77.268699906809829,0.0072831752382542646,0.007967256675004121,205,0,1,2,6.9097324832060627,21.079806091564333,0.03651406332555289,6.9094389065635475,21.087083347524246,0.044481320000557011
639049412327596044,nan,65.801864266624719,0.022673092611775605,0.0045209052246562506,211,0,1,2,6.857598920354568,21.178057763501105,0.044481319999005814,6.8625789112012994,21.155938341724109,0.039960414774349563
639049412327796182,nan,63.251034890455848,0.016448030861251749,0.0077852377428064765,202,0,1,2,6.8312664237156238,21.201948187169943,0.039960414772754069,6.8205160261473736,21.214396748184665,0.047745652515560545
639049412328096152,nan,64.369143030246306,0.02531907483879732,0.0070794554555238809,210,0,1,2,6.7574715087162707,21.3020151324294,0.04774565251374753,6.7710452109055455,21.280642014744572,0.040666197058223649
639049412328296355,nan,68.436127212488387,0.019509702215303806,0.0075830338360927466,200,0,1,2,6.7380278904272988,21.324854773024043,0.040666197056617649,6.7206660299075898,21.333753889824266,0.048249230892710396
